               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030609,            0.027773,            0.013264,             0.74276,             0.73517,             0.87236,             0.55363,            0.037636,            0.030944,           0.0065025,              0.0008,              0.0008,              0.0928
                   1,            0.031048,            0.029142,            0.013048,             0.57325,             0.84088,             0.82687,             0.50173,            0.036947,            0.030958,           0.0064144,           0.0016944,           0.0016944,            0.084694
                   2,            0.030145,            0.024658,            0.014646,             0.57687,             0.84891,             0.79894,             0.47623,            0.037753,            0.031709,           0.0066492,           0.0025828,           0.0025828,            0.076583
                   3,            0.029585,            0.024577,            0.012861,             0.74632,             0.70608,             0.79603,             0.47676,            0.037645,            0.032342,           0.0076448,           0.0034654,           0.0034654,            0.068465
                   4,            0.030592,            0.026481,            0.012167,             0.73741,             0.78286,             0.87258,             0.54201,            0.038929,            0.031159,           0.0064233,           0.0043419,           0.0043419,            0.060342
                   5,            0.033963,            0.027911,            0.015707,             0.64291,              0.7698,              0.8433,             0.43559,            0.045266,            0.031188,           0.0062844,           0.0052126,           0.0052126,            0.052213
                   6,            0.043059,             0.03108,            0.012331,             0.58202,             0.80551,             0.74134,             0.39522,            0.044473,            0.031499,             0.00624,           0.0060772,           0.0060772,            0.044077
                   7,            0.042458,            0.027794,            0.012971,             0.67596,             0.84462,             0.75604,             0.31557,            0.046595,            0.030024,           0.0049563,            0.006936,            0.006936,            0.035936
                   8,            0.045053,            0.028394,            0.014941,             0.65684,             0.80493,             0.76869,             0.40408,            0.042787,            0.033529,           0.0063267,           0.0077888,           0.0077888,            0.027789
                   9,            0.044071,            0.025963,            0.016112,             0.49292,             0.79343,             0.66889,             0.26386,            0.057324,            0.034607,           0.0072891,           0.0086357,           0.0086357,            0.019636
                  10,            0.045383,            0.027177,            0.012764,             0.50792,             0.68867,             0.66068,              0.3147,            0.051954,            0.031135,           0.0071792,           0.0094766,           0.0094766,            0.011477
                  11,              0.0458,            0.026578,            0.015811,             0.53864,             0.86906,             0.74833,              0.3873,            0.049399,            0.031977,           0.0070492,            0.009637,            0.009637,            0.009637
                  12,            0.045808,            0.027381,            0.016617,             0.46432,             0.73611,              0.6497,             0.25051,            0.050403,            0.034081,           0.0071806,            0.009637,            0.009637,            0.009637
                  13,            0.046044,            0.028795,            0.014245,             0.53182,             0.84509,             0.69521,             0.35494,            0.048766,            0.030615,           0.0068265,            0.009604,            0.009604,            0.009604
                  14,            0.044334,            0.027728,            0.016276,             0.58281,              0.8778,             0.77773,             0.33101,            0.049186,            0.031201,           0.0074768,            0.009571,            0.009571,            0.009571
                  15,            0.046739,            0.028822,            0.013825,             0.64721,             0.84001,             0.77138,              0.3907,            0.043302,            0.033603,           0.0072571,            0.009538,            0.009538,            0.009538
                  16,             0.04043,            0.030563,            0.014546,             0.70971,             0.58088,             0.63437,             0.29608,            0.053703,            0.042302,            0.010356,            0.009505,            0.009505,            0.009505
                  17,            0.042182,            0.030004,            0.014234,             0.48231,             0.37988,             0.34866,             0.13077,            0.068699,            0.068439,            0.021588,            0.009472,            0.009472,            0.009472
                  18,            0.043936,            0.028149,            0.016476,             0.62533,              0.5169,             0.57639,             0.24084,            0.058581,            0.054283,            0.015233,            0.009439,            0.009439,            0.009439
                  19,            0.046251,            0.030084,            0.013186,             0.73756,             0.67019,             0.68051,             0.35214,            0.048215,            0.040121,           0.0074665,            0.009406,            0.009406,            0.009406
                  20,            0.045589,             0.02993,            0.014723,             0.64199,             0.64709,             0.64797,             0.33084,             0.05195,            0.036328,           0.0068603,            0.009373,            0.009373,            0.009373
                  21,            0.045255,            0.029011,            0.014752,             0.75997,             0.61036,             0.66291,             0.35901,            0.046913,            0.044342,           0.0085535,             0.00934,             0.00934,             0.00934
